Iteracion,led_x,led_y,Diferencia,Data,Simuladas
30,3,3,2303490791.5871477,2303502093.3394847,11301.743
30,3,4,1742367351.8131487,1742379172.2394671,11820.426
30,3,5,1622572080.274393,1622726195.523456,154115.3
30,3,6,1642993640.6456604,1643310856.257977,317215.38
30,3,7,1656057146.4819672,1656229425.7720997,172279.16
30,3,8,1882182387.2747624,1882194247.3107564,11860.047
30,3,9,2125168099.6942906,2125178767.7281563,10668.025
30,3,10,2360768044.673245,2360901699.3197794,133654.66
30,3,11,2752093561.9416814,2752347281.5061994,253719.36
30,3,12,2639741815.389007,2639878016.9118094,136277.95
30,3,13,2354971245.551035,2354985158.158999,13912.6045
30,3,14,1748186393.5557692,1748200968.1788473,14574.618
30,3,15,1554901658.3831792,1555070646.1163015,168987.75
30,3,16,1637950071.6854436,1638276406.3421552,326334.3
30,3,17,1596563799.3065598,1596726434.1510956,162634.77
30,3,18,1874092182.5618265,1874102176.821584,9994.263
30,3,19,2089454538.6637118,2089468412.582207,13873.909
30,3,20,2340437031.4324665,2340574089.2498794,137669.66
35,1,1,1417342083166.149,1451541848603.4019,34199773000.0
35,2,1,9815356436.66115,10176026587.078632,407858100.0
35,2,2,9126608834.883854,9547824793.353415,522150600.0
35,2,3,7979952364.727842,8413401993.768299,512015700.0
35,2,4,7979561189.605334,8372318909.940894,456890700.0
35,2,5,8035720373.959397,8433770265.178412,471235520.0
35,2,6,10845028072.622288,11276598451.37594,492147520.0
35,2,7,11130030839.340324,11682544661.32534,670360770.0
35,2,8,8775841121.971428,9293744349.226927,622943600.0
35,2,9,8495653597.842351,8917860443.958853,514061800.0
35,2,10,8594202519.584255,8988917348.09337,457751680.0
35,3,1,2661861098.274697,2662111397.2950034,250298.9
35,3,2,2531771754.382784,2531894828.4574986,123172.39
35,3,3,2303489899.294996,2303502093.3394847,12194.044
35,3,4,1742365701.7045052,1742379172.2394671,13470.527
35,3,5,1622569620.4486437,1622726195.523456,156575.23
35,3,6,1642988739.087464,1643310856.257977,322117.25
35,3,7,1656055272.923707,1656229425.7720997,174153.03
35,3,8,1882181253.5741935,1882194247.3107564,12993.738
35,3,9,2125167233.1034188,2125178767.7281563,11534.637
35,3,10,2360764734.618059,2360901699.3197794,136964.6
35,3,11,2752088534.5844088,2752347281.5061994,258747.14
