Iteracion,led_x,led_y,Diferencia,Data,Simuladas
4,16,10,1718605016.7605948,1734134354.615302,16271410.0
4,16,12,3463563367.6873136,3507628736.975707,44166388.0
4,16,14,12008714838.6084,13100967782.162106,1307399800.0
4,16,16,193049293434.61615,1699631967460.2434,1690754700000.0
4,16,18,13923144042.467516,15521329784.945288,1923294700.0
4,16,20,3387468955.0855474,3429991399.001617,45809700.0
4,16,22,1937992024.5269587,1955398704.5841215,17536816.0
4,16,24,1393998070.1194472,1403334523.0531025,9344457.0
4,16,26,1161485470.3451746,1168378937.6402776,6894798.5
4,18,6,788297879.41471,788621387.8219367,323508.44
4,18,8,1080710518.862652,1081067076.5421336,356558.16
4,18,10,1620873775.4164093,1621306392.5869634,440471.72
4,18,12,2815511335.628622,2817323931.1350107,1818397.5
4,18,14,5822315897.714242,5843086146.017466,20975328.0
4,18,16,10303103694.04684,10895157955.378313,678564100.0
4,18,18,5337561787.769938,5363096884.440509,25833572.0
4,18,20,2472281202.5838203,2473831068.354368,1717204.8
4,18,22,1360770354.5149817,1361201054.732271,443267.06
4,18,24,1091734758.2435846,1092118093.6355898,411728.56
4,18,26,901303757.7221991,901683747.7805996,427399.4
4,20,6,675927314.2688123,675936935.2527974,9620.977
4,20,8,898418414.9956821,898430536.2603201,12121.282
4,20,10,1258757144.6212094,1258779684.009439,22539.383
4,20,12,1414764356.367229,1414811400.8491688,47044.45
4,20,14,1833384113.0911443,1834691153.493847,1311375.5
4,20,16,2317805882.5881295,2335139796.8656483,17480922.0
4,20,18,2014966909.0682216,2017062767.094726,2224859.5
4,20,20,1463955349.629435,1464015909.6231291,60559.977
4,20,22,1213098874.8708415,1213121361.183201,22486.307
4,20,24,844335689.2630568,844348660.1829301,12970.908
4,20,26,714846321.3477468,714857093.9977893,10772.646
4,22,6,530091291.78599817,530096214.59295416,4922.804
4,22,8,640753169.236827,640758894.7043425,5725.463
4,22,10,672785656.1116551,672795829.5869992,10173.474
4,22,12,653657703.0234679,653678890.3175666,21187.312
4,22,14,776480370.6127958,776875718.2905138,395385.12
4,22,16,959686598.4032123,965772806.1894858,6191355.5
4,22,18,1009711287.1479794,1010169385.4357854,477085.8
4,22,20,923055984.1319432,923077657.8742522,21673.727
4,22,22,835546437.4270968,835557397.8725171,10960.446
4,22,24,592785201.6182166,592791008.2105324,5806.587
4,22,26,542309622.9917798,542314545.1146182,4922.1284
4,24,6,403705005.7471724,403707138.06553125,2132.3162
4,24,8,434024758.88283426,434027481.819797,2722.932
4,24,10,396428873.1140744,396434510.4747114,5637.3564
4,24,12,436578454.8161175,436590264.78143156,11809.983
4,24,14,464012435.7584114,464299178.32784265,287005.28
4,24,16,565367182.2988758,567987151.442726,3334829.0
4,24,18,551533792.3119565,551965769.171354,431976.88
4,24,20,567865624.4902762,567878524.7755972,12900.291
4,24,22,487921674.1564148,487927639.40517896,5965.2456
4,24,24,453697586.5836197,453700380.8449236,2794.257
4,24,26,426257502.06047356,426259645.3338099,2143.2725
4,26,6,278240772.7169811,278242326.3211417,1553.605
4,26,8,297421207.32284045,297423313.931232,2106.61
4,26,10,287789587.13506114,287794484.63701546,4897.4976
4,26,12,330997547.7479131,331006246.83495766,8699.088
4,26,14,336925502.4245269,337187601.48734695,268749.78
4,26,16,385893065.24425095,388248965.6340632,2355898.8
4,26,18,358478627.1723568,358871398.9573452,395770.84
4,26,20,396195732.86584777,396206935.72298837,11202.857
4,26,22,370947091.8564918,370952260.8981518,5169.037
4,26,24,340428455.6454051,340430646.76186377,2191.1167
4,26,26,335806002.91863906,335807645.12248504,1642.2036
5,6,6,328672927.9856453,328674570.5838822,1642.598
5,6,8,348143530.1420826,348145706.20703024,2176.0642
5,6,10,338246885.98582953,338251870.5292859,4984.5464
5,6,12,375176680.3758783,375187169.0638688,10488.696
5,6,14,370867502.7819972,371214082.6229665,358350.62
5,6,16,396353524.7307117,398242377.464428,2411460.2
5,6,18,350891493.8419089,351200355.55267185,308861.5
5,6,20,338095912.81799114,338105389.98365825,9477.169
5,6,22,311201527.56513596,311206594.2534992,5066.6875
5,6,24,283022274.39102936,283024489.391471,2214.9998
5,6,26,290645689.31362605,290647312.9827024,1623.6691
5,8,6,424765018.01409256,424767194.3137637,2176.3013
5,8,8,444222541.232547,444225323.2262891,2781.9958
5,8,10,471267857.0222786,471273577.36910665,5720.341
5,8,12,560782070.1641647,560794541.7579709,12471.586
5,8,14,538032561.0135866,538354947.7955059,342231.53
5,8,16,575861792.5658472,579109190.0684261,3398451.2
5,8,18,465686064.6986589,466072883.3407086,388584.38
5,8,20,444137249.1453452,444149821.0047073,12571.856
5,8,22,408740386.5099513,408746484.5068406,6098.0024
5,8,24,418740057.49985546,418742900.9812238,2843.4805
5,8,26,415329862.8359443,415332068.9269318,2206.0947
5,10,6,535926967.66064924,535932077.44686884,5127.6504
5,10,8,626154337.7836542,626160316.2480139,5978.469
5,10,10,855723248.5987399,855734335.8549255,11087.252
5,10,12,952457472.7596338,952479218.1233642,21745.377
5,10,14,983814117.6042198,984210019.8567272,395902.25
5,10,16,1036702188.3032323,1043104296.9386994,6640801.5
5,10,18,750076407.453308,750581347.9158521,505025.34
5,10,20,692982032.6842551,693005185.6255932,23152.936
5,10,22,718793337.5346148,718805163.9316635,11826.394
5,10,24,671280036.4993205,671286152.953694,6116.4546
5,10,26,580722013.1996512,580727112.3110319,5099.103
5,12,6,740975284.8351678,740986636.2101434,11351.382
5,12,8,908047857.830331,908061280.5105826,13422.6875
5,12,10,1214825768.4142296,1214847676.8822675,21908.463
5,12,12,1533399048.2277584,1533459711.2593768,60663.023
5,12,14,1988499513.356427,1990389751.3108914,1897098.6
5,12,16,2415401519.9289618,2433414771.240269,18228694.0
5,12,18,1804569883.2285168,1806176252.9835434,1606370.0
5,12,20,1502198109.1567223,1502248050.8705063,49941.69
5,12,22,1233217262.868754,1233241683.8680649,24421.025
5,12,24,925996810.1624534,926009927.1645377,13116.998
5,12,26,739103139.4418665,739113364.1011336,10224.66
5,14,6,923511491.8322389,923987060.240725,509660.8
5,14,8,1110781595.5003276,1111323594.9013598,542454.2
5,14,10,1412517092.1898937,1413060628.598468,543536.25
5,14,12,2460384332.3226056,2462786805.308541,2402474.5
5,14,14,5289638329.80746,5314983572.47767,26538176.0
5,14,16,10867617747.938053,11749118358.77177,984208500.0
5,14,18,6462896545.779077,6502966080.668471,41060788.0
5,14,20,2896500017.1080117,2898953127.194635,2453961.5
5,14,22,1652480703.3001485,1653080683.9100797,600894.75
5,14,24,1114718757.4858398,1115196348.3129127,481559.1
5,14,26,814967992.7250742,815366817.7359037,398824.7
5,16,6,933956389.2192961,940749325.5523566,6793343.0
5,16,8,1190948969.8119802,1200093820.6539075,9152884.0
5,16,10,1718602866.9623435,1734134354.615302,16273827.0
5,16,12,3463550490.5631022,3507628736.975707,44179420.0
5,16,14,12013661981.345842,13100967782.162106,1297269200.0
5,16,16,189112764749.14032,1699631967460.2434,1690840700000.0
5,16,18,13929587266.14221,15521329784.945288,1910839200.0
5,16,20,3387458908.0698075,3429991399.001617,45822504.0
5,16,22,1937989077.734598,1955398704.5841215,17539772.0
5,16,24,1393996323.3873312,1403334523.0531025,9346204.0
5,16,26,1161484253.266757,1168378937.6402776,6896007.0
5,18,6,788297870.824393,788621387.8219367,323516.94
5,18,8,1080710491.7067127,1081067076.5421336,356584.8
5,18,10,1620873719.284393,1621306392.5869634,440529.56
5,18,12,2815511042.079965,2817323931.1350107,1818690.0
5,18,14,5822311661.408785,5843086146.017466,20979500.0
5,18,16,10303090492.74258,10895157955.378313,677602940.0
5,18,18,5337558401.824888,5363096884.440509,25837010.0
5,18,20,2472281118.284635,2473831068.354368,1717266.6
5,18,22,1360770317.1746879,1361201054.732271,443306.9
5,18,24,1091734723.739593,1092118093.6355898,411765.3
5,18,26,901303705.9971931,901683747.7805996,427456.3
5,20,6,675927314.114909,675936935.2527974,9621.137
5,20,8,898418414.3759314,898430536.2603201,12121.885
5,20,10,1258757143.4169738,1258779684.009439,22540.58
5,20,12,1414764353.9467487,1414811400.8491688,47046.887
5,20,14,1833384006.9899971,1834691153.493847,1311479.2
5,20,16,2317803291.5275893,2335139796.8656483,17483544.0
5,20,18,2014966696.4245894,2017062767.094726,2225080.8
5,20,20,1463955347.1942875,1464015909.6231291,60562.395
5,20,22,1213098874.246846,1213121361.183201,22486.908
5,20,24,844335689.0100077,844348660.1829301,12971.152
5,20,26,714846321.1891326,714857093.9977893,10772.801
5,22,6,530091291.689764,530096214.59295416,4922.9043
5,22,8,640753168.9734427,640758894.7043425,5725.731
5,22,10,672785655.7568525,672795829.5869992,10173.838
5,22,12,653657702.278338,653678890.3175666,21188.06
5,22,14,776480354.6011269,776875718.2905138,395401.16
5,22,16,959686296.57937,965772806.1894858,6191665.0
5,22,18,1009711268.4477361,1010169385.4357854,477106.8
5,22,20,923055983.4087754,923077657.8742522,21674.443
5,22,22,835546437.0199441,835557397.8725171,10960.853
5,22,24,592785201.4297364,592791008.2105324,5806.7803
5,22,26,542309622.9010352,542314545.1146182,4922.216
5,24,6,403705005.6940623,403707138.06553125,2132.3687
5,24,8,434024758.76994026,434027481.819797,2723.043
5,24,10,396428872.9860387,396434510.4747114,5637.482
